Package Name,Title,CRAN,Abstract,Version,Depends,Imports,Suggests
gmm,"gmm: Generalized Method of Moments and Generalized Empirical
Likelihood",OK,"It is a complete suite to estimate models based on moment
        conditions. It includes the two step Generalized method of
        moments (Hansen 1982; <doi:10.2307/1912775>), the iterated GMM and continuous
        updated estimator (Hansen, Eaton and Yaron 1996; <doi:10.2307/1392442>) and several
        methods that belong to the Generalized Empirical Likelihood
        family of estimators (Smith 1997; <doi:10.1111/j.0013-0133.1997.174.x>,
        Kitamura 1997; <doi:10.1214/aos/1069362388>, Newey and Smith 2004; <doi:10.1111/j.1468-0262.2004.00482.x>,
	and Anatolyev 2005 <doi:10.1111/j.1468-0262.2005.00601.x>).",1.6-2,"R (≥ 2.10.0), sandwich","stats, methods, grDevices, graphics","mvtnorm, car, stabledist, MASS, timeDate, timeSeries"
GPArotation,GPArotation: GPA Factor Rotation,OK,Gradient Projection Algorithm Rotation for Factor Analysis. See ?GPArotation.Intro for more details.,2014.11-1,R (≥ 2.0.0),NA,NA
gridBase,gridBase: Integration of base and grid graphics,OK,Integration of base and grid graphics,0.4-7,R (≥ 2.3.0),"graphics, grid",lattice
gridExtra,"gridExtra: Miscellaneous Functions for ""Grid"" Graphics",OK,"Provides a number of user-level functions to work with ""grid""
    graphics, notably to arrange multiple grid-based plots on a page, and draw
    tables.",2.3,NA,"gtable, grid, grDevices, graphics, utils","ggplot2, egg, lattice, knitr, testthat"
gss,gss: General Smoothing Splines,OK,"A comprehensive package for structural multivariate
        function estimation using smoothing splines.",2.1-9,"R (≥ 2.14.0), stats",NA,NA
gtable,gtable: Arrange 'Grobs' in Tables,OK,"Tools to make it easier to work with ""tables"" of 'grobs'.",0.2.0,R (≥ 2.14),grid,"testthat, covr"
gtools,gtools: Various R Programming Tools,OK,"Functions to assist in R programming, including:
  - assist in developing, updating, and maintaining R and R packages ('ask', 'checkRVersion',
    'getDependencies', 'keywords', 'scat'),
  - calculate the logit and inverse logit transformations ('logit', 'inv.logit'),
  - test if a value is missing, empty or contains only NA and NULL values ('invalid'),
  - manipulate R's .Last function ('addLast'),
  - define macros ('defmacro'),
  - detect odd and even integers ('odd', 'even'),
  - convert strings containing non-ASCII characters (like single quotes) to plain ASCII ('ASCIIfy'),
  - perform a binary search ('binsearch'),
  - sort strings containing both numeric and character components ('mixedsort'),
  - create a factor variable from the quantiles of a continuous variable ('quantcut'),
  - enumerate permutations and combinations ('combinations', 'permutation'),
  - calculate and convert between fold-change and log-ratio ('foldchange',
    'logratio2foldchange', 'foldchange2logratio'),
  - calculate probabilities and generate random numbers from Dirichlet distributions
    ('rdirichlet', 'ddirichlet'),
  - apply a function over adjacent subsets of a vector ('running'),
  - modify the TCP\_NODELAY ('de-Nagle') flag for socket objects,
  - efficient 'rbind' of data frames, even if the column names don't match ('smartbind'),
  - generate significance stars from p-values ('stars.pval'),
  - convert characters to/from ASCII codes ('asc', 'chr'),
  - convert character vector to ASCII representation ('ASCIIfy').",3.8.1,"methods, stats, utils",NA,NA
highr,highr: Syntax Highlighting for R Source Code,OK,"Provides syntax highlighting for R source code. Currently it
    supports LaTeX and HTML output. Source code of other languages is supported
    via Andre Simon's highlight package (<http://www.andre-simon.de>).",0.7,R (≥ 3.0.2),NA,"knitr, testit"
Hmisc,Hmisc: Harrell Miscellaneous,OK,"Contains many functions useful for data
	analysis, high-level graphics, utility operations, functions for
	computing sample size and power, importing and annotating datasets,
	imputing missing values, advanced table making, variable clustering,
	character string manipulation, conversion of R objects to LaTeX and html code,
	and recoding variables.",4.1-1,"lattice, survival (≥ 2.40-1), Formula, ggplot2 (≥ 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign, gtable, grid, gridExtra, data.table, htmlTable (≥ 1.11.0), viridis, htmltools, base64enc","chron, rms, mice, tables, knitr, ff, ffbase, plotly (≥
4.5.6)"
htmlTable,htmlTable: Advanced Tables for Markdown/HTML,OK,"Tables with state-of-the-art layout elements such as row spanners,
    column spanners, table spanners, zebra striping, and more. While allowing
    advanced layout, the underlying css-structure is simple in order to maximize
    compatibility with word processors such as 'MS Word' or 'LibreOffice'. The package
    also contains a few text formatting functions that help outputting text
    compatible with HTML/LaTeX.",1.12,NA,"stringr, knitr (≥ 1.6), magrittr (≥ 1.5), methods, checkmate, htmlwidgets, htmltools, rstudioapi (≥ 0.6)","testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown, pander, chron, lubridate, tibble, tidyr (≥ 0.7.2), dplyr (≥
0.7.4)"
htmltools,htmltools: Tools for HTML,OK,Tools for HTML generation and output.,0.3.6,R (≥ 2.14.1),"utils, digest, Rcpp","markdown, testthat"
htmlwidgets,htmlwidgets: HTML Widgets for R,OK,"A framework for creating HTML widgets that render in various
    contexts including the R console, 'R Markdown' documents, and 'Shiny'
    web applications.",1.2,NA,"grDevices, htmltools (≥ 0.3), jsonlite (≥ 0.9.16), yaml",knitr (≥ 1.8)
httpuv,httpuv: HTTP and WebSocket Server Library,OK,"Provides low-level socket and protocol support for handling
    HTTP and WebSocket requests directly from within R. It is primarily
    intended as a building block for other packages, rather than making it
    particularly easy to create complete web applications using httpuv alone.
    httpuv is built on top of the libuv and http-parser C libraries, both of
    which were developed by Joyent, Inc. (See LICENSE file for libuv and
    http-parser license information.)",1.4.5,"R (≥ 2.15.1), methods","Rcpp (≥ 0.11.0), utils, promises, later (≥ 0.7.3)","testthat, callr"
httr,httr: Tools for Working with URLs and HTTP,OK,"Useful tools for working with HTTP organised by HTTP verbs
    (GET(), POST(), etc). Configuration functions make it easy to control
    additional request components (authenticate(), add_headers() and so on).",1.3.1,R (≥ 3.0.0),"jsonlite, mime, curl (≥ 0.9.1), openssl (≥ 0.8), R6","httpuv, jpeg, knitr, png, testthat (≥ 0.8.0), readr, xml2, rmarkdown, covr"
huge,huge: High-Dimensional Undirected Graph Estimation,OK,"Provides a general framework for
        high-dimensional undirected graph estimation. It integrates
        data preprocessing, neighborhood screening, graph estimation,
        and model selection techniques into a pipeline. In
        preprocessing stage, the nonparanormal(npn) transformation is
        applied to help relax the normality assumption. In the graph
        estimation stage, the graph structure is estimated by
        Meinshausen-Buhlmann graph estimation or the graphical lasso,
        and both methods can be further accelerated by the lossy
        screening rule preselecting the neighborhood of each variable
        by correlation thresholding. We target on high-dimensional data
        analysis usually d >> n, and the computation is
        memory-optimized using the sparse matrix output. We also
        provide a computationally efficient approach, correlation
        thresholding graph estimation. Three
        regularization/thresholding parameter selection methods are
        included in this package: (1)stability approach for
        regularization selection (2) rotation information criterion (3)
        extended Bayesian information criterion which is only available
        for the graphical lasso.",1.2.7,"R (≥ 3.0.0), Matrix, lattice, igraph, MASS","grDevices, graphics, methods, stats, utils",NA
igraph,igraph: Network Analysis and Visualization,OK,"Routines for simple graphs and network analysis. It can
  handle large graphs very well and provides functions for generating random
  and regular graphs, graph visualization, centrality methods and much more.",1.2.2,methods,"graphics, grDevices, magrittr, Matrix, pkgconfig (≥ 2.0.0), stats, utils","ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk, testthat"
iplots,iplots: iPlots - interactive graphics for R,OK,Interactive plots for R.,1.1-7.1,"R (≥ 1.5.0), methods, rJava (≥ 0.5-0)","grDevices, png","maps, MASS"
irlba,"irlba: Fast Truncated Singular Value Decomposition and Principal
Components Analysis for Large Dense and Sparse Matrices",OK,"Fast and memory efficient methods for truncated singular value
    decomposition and principal components analysis of large sparse and dense matrices.",2.3.2,Matrix,"stats, methods",PMA
iterators,iterators: Provides Iterator Construct for R,OK,"Support for iterators, which allow a programmer to traverse
        through all the elements of a vector, list, or other collection
        of data.",1.0.10,"R (≥ 2.5.0), utils",NA,"RUnit, foreach"
JavaGD,JavaGD: Java Graphics Device,OK,"Graphics device routing all graphics commands to a Java
        program. The actual functionality of the JavaGD depends on the
        Java-side implementation. Simple AWT and Swing implementations
        are included.",0.6-1,R (≥ 2.4.0),NA,rJava (≥ 0.5-0)
jpeg,jpeg: Read and write JPEG images,OK,"This package provides an easy and simple way to read, write and display bitmap images stored in the JPEG format. It can read and write both files and in-memory raw vectors.",0.1-8,R (≥ 2.9.0),NA,NA
jsonlite,"jsonlite: A Robust, High Performance JSON Parser and Generator for R",OK,"A fast JSON parser and generator optimized for statistical data
    and the web. Started out as a fork of 'RJSONIO', but has been completely
    rewritten in recent versions. The package offers flexible, robust, high
    performance tools for working with JSON in R and is particularly powerful
    for building pipelines and interacting with a web API. The implementation is
    based on the mapping described in the vignette (Ooms, 2014). In addition to
    converting JSON data from/to R objects, 'jsonlite' contains functions to
    stream, validate, and prettify JSON data. The unit tests included with the
    package verify that all edge cases are encoded and decoded consistently for
    use with dynamic data in systems and applications.",1.5,methods,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp"
kernlab,kernlab: Kernel-Based Machine Learning Lab,OK,"Kernel-based machine learning methods for classification,
        regression, clustering, novelty detection, quantile regression
        and dimensionality reduction.  Among other methods 'kernlab'
        includes Support Vector Machines, Spectral Clustering, Kernel
        PCA, Gaussian Processes and a QP solver.",0.9-27,R (≥ 2.10),"methods, stats, grDevices, graphics",NA
knitr,knitr: A General-Purpose Package for Dynamic Report Generation in R,OK,"Provides a general-purpose tool for dynamic report generation in R
    using Literate Programming techniques.",1.20,R (≥ 3.1.0),"evaluate (≥ 0.10), highr, markdown, stringr (≥ 0.6), yaml, methods, tools","formatR, testit, digest, rgl (≥ 0.95.1201), codetools, rmarkdown, htmlwidgets (≥ 0.7), webshot, tikzDevice (≥ 0.10), tinytex, xfun, reticulate (≥ 1.4), JuliaCall (≥ 0.11.1), png, jpeg, xml2, httr, DBI (≥ 0.4-1), showtext, tibble"
kohonen,kohonen: Supervised and Unsupervised Self-Organising Maps,OK,"Functions to train self-organising maps (SOMs). Also interrogation of the maps and prediction using trained maps are supported. The name of the package refers to Teuvo Kohonen, the inventor of the SOM.",3.0.6,R (≥ 2.10),"MASS, Rcpp (≥ 0.12.12)",NA
labeling,labeling: Axis Labeling,OK,Provides a range of axis labeling algorithms,0.3,NA,NA,NA
latticeExtra,latticeExtra: Extra Graphical Utilities Based on Lattice,OK,"Building on the infrastructure provided by the lattice
	     package, this package provides several new high-level
	     functions and methods, as well as additional utilities
	     such as panel and axis annotation functions.",0.6-28,"R (≥ 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices","maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv"
lavaan,lavaan: Latent Variable Analysis,OK,"Fit a variety of latent variable models, including confirmatory
   factor analysis, structural equation modeling and latent growth curve models.",0.6-2,R (≥ 3.4),"methods, stats4, stats, utils, graphics, MASS, mnormt, pbivnorm, numDeriv",testthat
lavaan.survey,lavaan.survey: Complex Survey Structural Equation Modeling (SEM),OK,"Fit structural equation models (SEM) including factor analysis,
    multivariate regression models with latent variables and many other latent
    variable models while correcting estimates, standard errors, and
    chi-square-derived fit measures for a complex sampling design. 
    Incorporate clustering, stratification, sampling weights, and 
    finite population corrections into a SEM analysis.
    Wrapper around packages lavaan and survey.",1.1.3.1,"R (≥ 2.14.0), lavaan (≥ 0.5-20), survey (≥ 3.30-3)",MASS,"testthat, mice, mitools"
lazyeval,lazyeval: Lazy (Non-Standard) Evaluation,OK,"An alternative approach to non-standard evaluation using
    formulas. Provides a full implementation of LISP style 'quasiquotation',
    making it easier to generate code with other code.",0.2.1,R (≥ 3.1.0),NA,"knitr, rmarkdown (≥ 0.2.65), testthat, covr"
leaps,leaps: Regression Subset Selection,OK,"Regression subset selection, including exhaustive search.",3.0,NA,NA,biglm
LearnBayes,LearnBayes: Functions for Learning Bayesian Inference,OK,"A collection of functions helpful in learning the basic tenets of Bayesian statistical inference.  It contains functions for summarizing basic one and two parameter posterior distributions and predictive distributions.  It contains MCMC algorithms for summarizing posterior distributions defined by the user.  It also contains functions for regression models, hierarchical models, Bayesian tests, and illustrations of Gibbs sampling.",2.15.1,NA,NA,NA
lisrelToR,lisrelToR: Import output from LISREL into R,OK,"This is an unofficial package aimed at automating the
        import of LISREL output in R.  This package or its maintainer
        is not in any way affiliated with the creators of LISREL and
        SSI, Inc.",0.1.4,R (≥ 2.15.0),NA,NA
lme4,lme4: Linear Mixed-Effects Models using 'Eigen' and S4,OK,"Fit linear and generalized linear mixed-effects models.
    The models and their components are represented using S4 classes and
    methods.  The core computational algorithms are implemented using the
    'Eigen' C++ library for numerical linear algebra and 'RcppEigen' ""glue"".",1.1-18-1,"R (≥ 3.2.0), Matrix (≥ 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, nlme (≥ 3.1-123), minqa (≥ 1.1.15), nloptr (≥ 1.0.4)","knitr, boot, PKPDmodels, MEMSS, testthat (≥ 0.8.1), ggplot2, mlmRev, optimx (≥ 2013.8.6), gamm4, pbkrtest, HSAUR2, numDeriv"
lmtest,lmtest: Testing Linear Regression Models,OK,"A collection of tests, data sets, and examples
 for diagnostic checking in linear regression models. Furthermore,
 some generic tools for inference in parametric models are provided.",0.9-36,"R (≥ 2.10.0), stats, zoo",graphics,"car, strucchange, sandwich, dynlm, stats4, survival, AER"
lpSolveAPI,lpSolveAPI: R Interface to 'lp_solve' Version 5.5.2.0,OK,"The lpSolveAPI package provides an R interface to 'lp_solve',
    a Mixed Integer Linear Programming (MILP) solver with support for pure
    linear, (mixed) integer/binary, semi-continuous and special ordered sets
    (SOS) models.",5.5.2.0-17,NA,NA,NA
magrittr,magrittr: A Forward-Pipe Operator for R,OK,"Provides a mechanism for chaining commands with a
    new forward-pipe operator, %>%. This operator will forward a
    value, or the result of an expression, into the next function
    call/expression. There is flexible support for the type
    of right-hand side expressions. For more information, see
    package vignette.
    To quote Rene Magritte, ""Ceci n'est pas un pipe.""",1.5,NA,NA,"testthat, knitr"
manipulate,manipulate: Interactive Plots for RStudio,OK,"Interactive plotting functions for use within RStudio.
  The manipulate function accepts a plotting expression and a set of
  controls (e.g. slider, picker, checkbox, or button) which are used
  to dynamically change values within the expression. When a value is
  changed using its corresponding control the expression is
  automatically re-executed and the plot is redrawn.",1.0.1,R (≥ 2.11.1),NA,NA
maptools,maptools: Tools for Reading and Handling Spatial Objects,OK,"Set of tools for manipulating and reading geographic data, in particular 'ESRI Shapefiles'; C code used from 'shapelib'. It includes binary access to 'GSHHG' shoreline files. The package also provides interface wrappers for exchanging spatial objects with packages such as 'PBSmapping', 'spatstat', 'maps', 'RArcInfo', 'Stata tmap', 'WinBUGS', 'Mondrian', and others.",0.9-3,"R (≥ 2.10), sp (≥ 1.0-11)","foreign (≥ 0.8), methods, grid, lattice, stats, utils, grDevices","rgeos (≥ 0.1-8), spatstat (≥ 1.50), PBSmapping, maps, RColorBrewer, raster, polyclip, spatstat.utils"
mapview,mapview: Interactive Viewing of Spatial Data in R,OK,"Quickly and conveniently create interactive visualisations of spatial data with or without background maps. Attributes of displayed features are fully queryable via pop-up windows. Additional functionality includes methods to visualise true- and false-color raster images, bounding boxes, small multiples and 3D raster data cubes. ",2.5.0,"R (≥ 2.10), methods","leaflet (≥ 1.0.0), sp, raster, satellite, scales (≥ 0.2.5), brew, htmlwidgets, htmltools, png, Rcpp (≥ 0.11.3), lattice, webshot, viridisLite, sf, stars, base64enc, svglite, uuid","knitr, rmarkdown, dplyr, testthat, covr, lwgeom"
markdown,markdown: 'Markdown' Rendering for R,OK,"Provides R bindings to the 'Sundown' 'Markdown' rendering library
    (https://github.com/vmg/sundown). 'Markdown' is a plain-text formatting
    syntax that can be converted to 'XHTML' or other formats. See
    http://en.wikipedia.org/wiki/Markdown for more information about 'Markdown'.",0.8,R (≥ 2.11.1),"utils, mime (≥ 0.3)","knitr, RCurl"
matrixcalc,matrixcalc: Collection of functions for matrix calculations,OK,"A collection of functions to support matrix calculations
        for probability, econometric and numerical analysis. There are
        additional functions that are comparable to APL functions which
        are useful for actuarial models such as pension mathematics.
        This package is used for teaching and research purposes at the
        Department of Finance and Risk Engineering, New York
        University, Polytechnic Institute, Brooklyn, NY 11201.",1.0-3,R (≥ 2.0.1),NA,NA
MatrixModels,MatrixModels: Modelling with Sparse And Dense Matrices,OK,"Modelling with sparse and dense 'Matrix' matrices, using
  modular prediction and response module classes.",0.4-1,R (≥ 3.0.1),"stats, methods, Matrix (≥ 1.1-5)",NA
maxLik,maxLik: Maximum Likelihood Estimation and Related Tools,OK,"Functions for Maximum Likelihood (ML) estimation and non-linear
   optimization, and related tools.  It includes a unified way to call
   different optimizers, and classes and methods to handle the results from
   the ML viewpoint.  It also includes a number of convenience tools for testing
   and developing your own models.",1.3-4,"R (≥ 2.4.0), miscTools (≥ 0.6-8), methods",sandwich,NA
mcmc,mcmc: Markov Chain Monte Carlo,OK,"Simulates continuous distributions of random vectors using
    Markov chain Monte Carlo (MCMC).  Users specify the distribution by an
    R function that evaluates the log unnormalized density.  Algorithms
    are random walk Metropolis algorithm (function metrop), simulated
    tempering (function temper), and morphometric random walk Metropolis
    (Johnson and Geyer, 2012, <https://doi.org/10.1214/12-AOS1048>,
    function morph.metrop),
    which achieves geometric ergodicity by change of variable.",0.9-5,R (≥ 3.0.2),"stats, compiler","xtable, Iso"
MCMCpack,MCMCpack: Markov Chain Monte Carlo (MCMC) Package,OK,"Contains functions to perform Bayesian
        inference using posterior simulation for a number of
        statistical models. Most simulation is done in compiled C++
        written in the Scythe Statistical Library Version 1.0.3. All
        models return 'coda' mcmc objects that can then be summarized
        using the 'coda' package. Some useful
        utility functions such as density functions,
	pseudo-random number generators for statistical
        distributions, a general purpose Metropolis sampling algorithm,
        and tools for visualization are provided.",1.4-3,"R (≥ 2.10.0), coda (≥ 0.11-3), MASS, stats","graphics, grDevices, lattice, methods, utils, mcmc, quantreg",NA
mgcv,"mgcv: Mixed GAM Computation Vehicle with Automatic Smoothness
Estimation",OK,"Generalized additive (mixed) models, some of their extensions and 
             other generalized ridge regression with multiple smoothing 
             parameter estimation by (Restricted) Marginal Likelihood, 
             Generalized Cross Validation and similar. Includes a gam() 
             function, a wide variety of smoothers, JAGS support and 
             distributions beyond the exponential family.",1.8-24,"R (≥ 2.14.0), nlme (≥ 3.1-64)","methods, stats, graphics, Matrix","splines, parallel, survival, MASS"
mi,mi: Missing Data Imputation and Model Checking,OK,"The mi package provides functions for data manipulation, imputing missing values in an approximate Bayesian framework, diagnostics of the models used to generate the imputations, confidence-building mechanisms to validate some of the assumptions of the imputation algorithm, and functions to analyze multiply imputed data sets with the appropriate degree of sampling uncertainty.",1.0,"R (≥ 3.0.0), methods, Matrix, stats4",arm (≥ 1.4-11),"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival, truncnorm, foreign"
mice,mice: Multivariate Imputation by Chained Equations,OK,"Multiple imputation using Fully Conditional Specification (FCS)
    implemented by the MICE algorithm as described in Van Buuren and
    Groothuis-Oudshoorn (2011) <doi:10.18637/jss.v045.i03>. Each variable has
    its own imputation model. Built-in imputation models are provided for
    continuous data (predictive mean matching, normal), binary data (logistic
    regression), unordered categorical data (polytomous logistic regression)
    and ordered categorical data (proportional odds). MICE can also impute
    continuous two-level data (normal model, pan, second-level variables).
    Passive imputation can be used to maintain consistency between variables.
    Various diagnostic plots are available to inspect the quality of the
    imputations.",3.3.0,"methods, R (≥ 2.10.0), lattice","broom, dplyr, grDevices, graphics, MASS, mitml, nnet, parallel, Rcpp, rlang, rpart, splines, stats, survival, utils","AGD, CALIBERrfimpute, DPpackage, gamlss, lme4, mitools, nlme, pan, randomForest, Zelig, BSDA, knitr, rmarkdown, testthat, HSAUR3, micemd, miceadds, tidyr"
mime,mime: Map Filenames to MIME Types,OK,"Guesses the MIME type from a filename extension using the data
    derived from /etc/mime.types in UNIX-type systems.",0.5,NA,tools,NA
minqa,"minqa: Derivative-free optimization algorithms by quadratic
approximation",OK,"Derivative-free optimization by quadratic approximation
        based on an interface to Fortran implementations by M. J. D.
        Powell.",1.2.4,NA,Rcpp (≥ 0.9.10),NA
miscTools,miscTools: Miscellaneous Tools and Utilities,OK,"Miscellaneous small tools and utilities.
   Many of them facilitate the work with matrices,
   e.g. inserting rows or columns, creating symmetric matrices,
   or checking for semidefiniteness.
   Other tools facilitate the work with regression models,
   e.g. extracting the standard errors,
   obtaining the number of (estimated) parameters,
   or calculating R-squared values.",0.6-22,R (≥ 2.14.0),NA,Ecdat (≥ 0.1-5)
missMDA,missMDA: Handling Missing Values with Multivariate Data Analysis,OK,"Imputation of incomplete continuous or categorical datasets; Missing values are imputed with a principal component analysis (PCA), a multiple correspondence analysis (MCA) model or a multiple factor analysis (MFA) model; Perform multiple imputation with and in PCA or MCA.",1.13,R (≥ 3.3.0),"FactoMineR, graphics, grDevices, mice, mvtnorm, stats, utils",knitr
mlogit,mlogit: Multinomial Logit Models,OK,Maximum Likelihood estimation of random utility discrete choice models (logit and probit).,0.3-0,"R (≥ 2.10), Formula, maxLik","statmod, zoo, MASS, lmtest","knitr, car, nnet, lattice, AER, ggplot2, texreg"
mnormt,mnormt: The Multivariate Normal and t Distributions,OK,"Functions are provided for computing the density and the
  distribution function of multivariate normal and ""t"" random variables,
  and for generating random vectors sampled from these distributions.  
  Probabilities are computed via non-Monte Carlo methods; different routines 
  are used in the case d=1, d=2, d>2, if d denotes the number of dimensions.",1.5-5,R (≥ 2.2.0),NA,NA
modeest,modeest: Mode Estimation,OK,"This package provides estimators of the mode of univariate
        unimodal data or univariate unimodal distributions",2.1,R (≥ 2.12.0),NA,"stats, evd, fBasics, stabledist, VGAM"
moments,"moments: Moments, cumulants, skewness, kurtosis and related tests",OK,"Functions to calculate: moments, Pearson's kurtosis,
        Geary's kurtosis and skewness; tests related to them
        (Anscombe-Glynn, D'Agostino, Bonett-Seier).",0.14,NA,NA,NA
multcomp,multcomp: Simultaneous Inference in General Parametric Models,OK,"Simultaneous tests and confidence intervals
  for general linear hypotheses in parametric models, including 
  linear, generalized linear, linear mixed effects, and survival models.
  The package includes demos reproducing analyzes presented
  in the book ""Multiple Comparisons Using R"" (Bretz, Hothorn, 
  Westfall, 2010, CRC Press).",1.4-8,"stats, graphics, mvtnorm (≥ 1.0-3), survival (≥ 2.39-4), TH.data (≥ 1.0-2)","sandwich (≥ 2.3-0), codetools","lme4 (≥ 0.999375-16), nlme, robustbase, coin, MASS, car, foreign, xtable, lmtest, coxme (≥ 2.2-1), SimComp, ISwR"
munsell,munsell: Utilities for Using Munsell Colours,OK,"Provides easy access to, and manipulation of, the Munsell 
    colours. Provides a mapping between Munsell's 
    original notation (e.g. ""5R 5/10"") and hexadecimal strings suitable 
    for use directly in R graphics. Also provides utilities 
    to explore slices through the Munsell colour tree, to transform 
    Munsell colours and display colour palettes.",0.5.0,NA,"colorspace, methods","ggplot2, testthat"
mvtnorm,mvtnorm: Multivariate Normal and t Distributions,OK,"Computes multivariate normal and t probabilities, quantiles,
  random deviates and densities.",1.0-8,R (≥ 1.9.0),"stats, methods",NA
network,network: Classes for Relational Data,OK,"Tools to create and modify network objects.  The network class can represent a range of relational data types, and supports arbitrary vertex/edge/graph attributes.",1.13.0.1,"R (≥ 2.10), utils",NA,"sna, statnet.common, testthat"
neural,neural: Neural Networks,OK,RBF and MLP neural networks with graphical user interface,1.4.2.2,NA,NA,NA
nloptr,nloptr: R interface to NLopt,OK,"
    nloptr is an R interface to NLopt. NLopt is a free/open-source library for
    nonlinear optimization, providing a common interface for a number of
    different free optimization routines available online as well as original
    implementations of various other algorithms.
    See http://ab-initio.mit.edu/wiki/index.php/NLopt_Introduction for more
    information on the available algorithms. During installation on Unix the
    NLopt code is downloaded and compiled from the NLopt website.",1.0.4,NA,NA,testthat (≥ 0.8.1)
NMF,"NMF: Algorithms and Framework for Nonnegative Matrix Factorization
(NMF)",OK,"Provides a framework to perform Non-negative Matrix
    Factorization (NMF). The package implements a set of already published algorithms
    and seeding methods, and provides a framework to test, develop and plug
    new/custom algorithms. Most of the built-in algorithms have been optimized
    in C++, and the main interface function provides an easy way of performing
    parallel computations on multicore machines.",0.21.0,"R (≥ 3.0.0), methods, utils, pkgmaker (≥ 0.20), registry, rngtools (≥ 1.2.3), cluster","graphics, stats, stringr (≥ 1.0.0), digest, grid, grDevices, gridBase, colorspace, RColorBrewer, foreach, doParallel, ggplot2, reshape2","fastICA, doMPI, bigmemory (≥ 4.2), synchronicity (≥ 1.3.2), corpcor, xtable, devtools, knitr, bibtex, RUnit, mail, Biobase"
nortest,nortest: Tests for Normality,OK,"Five omnibus tests for testing the composite hypothesis of
        normality.",1.0-4,NA,stats,NA
openssl,"openssl: Toolkit for Encryption, Signatures and Certificates Based on
OpenSSL",OK,"Bindings to OpenSSL libssl and libcrypto, plus custom SSH pubkey parsers.
    Supports RSA, DSA and EC curves P-256, P-384 and P-521. Cryptographic signatures
    can either be created and verified manually or via x509 certificates. AES can be
    used in cbc, ctr or gcm mode for symmetric encryption; RSA for asymmetric (public
    key) encryption or EC for Diffie Hellman. High-level envelope functions combine
    RSA and AES for encrypting arbitrary sized data. Other utilities include key
    generators, hash functions (md5, sha1, sha256, etc), base64 encoder, a secure
    random number generator, and 'bignum' math methods for manually performing
    crypto calculations on large multibyte integers.",1.0.2,NA,NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose"
openxlsx,"openxlsx: Read, Write and Edit XLSX Files",OK,"Simplifies the creation of Excel .xlsx files by providing a high
    level interface to writing, styling and editing worksheets. Through the use of
    'Rcpp', read/write times are comparable to the 'xlsx' and 'XLConnect' packages
    with the added benefit of removing the dependency on Java.",4.1.0,R (≥ 3.3.0),"methods, Rcpp, grDevices, stats, utils, zip","knitr, testthat"
pbivnorm,pbivnorm: Vectorized Bivariate Normal CDF,OK,"Provides a vectorized R function for calculating
    probabilities from a standard bivariate normal CDF.",0.6.0,NA,NA,NA
pbkrtest,"pbkrtest: Parametric Bootstrap and Kenward Roger Based Methods for Mixed
Model Comparison",OK,"Test in mixed effects models. Attention is on mixed effects models
    as implemented in the 'lme4' package. This package implements a parametric
    bootstrap test and a Kenward Roger modification of F-tests for linear mixed
    effects models and a parametric bootstrap test for generalized linear mixed
    models.",0.4-7,"R (≥ 3.2.3), lme4 (≥ 1.1.10)","Matrix (≥ 1.2.3), parallel, MASS, methods",NA
pkgmaker,pkgmaker: Development Utilities for R Packages,OK,"Provides some low-level utilities to use for package
    development. It currently provides managers for multiple package specific
    options and registries, vignette, unit test and bibtex related utilities.
    It serves as a base package for packages like NMF, RcppOctave, doRNG, and
    as an incubator package for other general purposes utilities, that will
    eventually be packaged separately.
    It is still under heavy development and changes in the interface(s) are
    more than likely to happen.",0.27,"R (≥ 3.0.0), methods, stats, registry","tools, grDevices, utils, graphics, codetools, digest, stringi, magrittr, stringr, xtable, withr, bibtex (≥ 0.4)","devtools (≥ 0.8), roxygen2, RUnit, testthat, knitr, rmarkdown, yaml, Biobase"
plm,plm: Linear Models for Panel Data,OK,A set of estimators and tests for panel data econometrics.,1.6-6,"R (≥ 3.1.0), Formula (≥ 0.2-0), stats","MASS, bdsmatrix, zoo, nlme, sandwich, lattice, lmtest, maxLik","AER, car, pcse, clusterSEs, clubSandwich, pglm, spdep, splm, statmod, Ecdat, pder, stargazer, texreg, foreign"
plyr,"plyr: Tools for Splitting, Applying and Combining Data",OK,"A set of tools that solves a common set of problems: you
    need to break a big problem down into manageable pieces, operate on each
    piece and then put all the pieces back together.  For example, you might
    want to fit a model to each spatial location or time point in your study,
    summarise data by panels or collapse high-dimensional arrays to simpler
    summary statistics. The development of 'plyr' has been generously supported
    by 'Becton Dickinson'.",1.8.4,R (≥ 3.1.0),Rcpp (≥ 0.11.0),"abind, testthat, tcltk, foreach, doParallel, itertools, iterators, covr"
png,png: Read and write PNG images,OK,"This package provides an easy and simple way to read, write and display bitmap images stored in the PNG format. It can read and write both files and in-memory raw vectors.",0.1-7,R (≥ 2.9.0),NA,NA
